chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
1339558,NOCAS_1339558,AFFF Solberg F1 (0.5X) + F3 (0.5X),81,13,13,2,2,0
30056,5436-43-1,"2,2',4,4'-Tetrabromodiphenyl ether",341,62,36,7,4,3
20321,113-92-8,Chlorpheniramine maleate,804,64,15,14,7,7
22707,36505-84-7,Buspirone,601,70,14,10,4,6
47672,272451-65-7,Flubendiamide,420,55,17,8,5,3
1020544,35597-44-5,Glufosinate-P,72,0,0,0,0,0
37197,62571-86-2,Captopril,335,3,3,2,2,0
20732,15687-27-1,Ibuprofen,1056,33,33,10,10,0
32192,78-30-8,Tri-o-cresyl phosphate,552,211,31,21,11,10
23309,51384-51-1,Metoprolol,310,8,8,5,5,0
37555,102851-06-9,tau-Fluvalinate,421,60,60,9,9,0
47037,335104-84-2,Tembotrione,418,9,9,5,5,0
865801,36062-04-1,Tetrahydrocurcumin,161,33,18,11,8,3
32330,1820573-27-0,beta-Cyfluthrin,70,25,25,2,2,0
23270,657-24-9,Metformin,490,7,7,3,3,0
47240,6106-04-3,Sodium L-glutamate hydrate,70,0,0,0,0,0
23039,76824-35-6,Famotidine,681,7,7,3,3,0
28880,68937-41-7,Triphenyl phosphates isopropylated,1130,312,43,24,10,14
24122,1071-83-6,Glyphosate,68,0,0,0,0,0
20635,56296-78-7,Fluoxetine hydrochloride,330,182,54,13,9,4
37044,26787-78-0,Amoxicillin,143,0,0,0,0,0
34869,178928-70-6,Prothioconazole,414,141,22,18,10,8
21272,7758-19-2,Sodium chlorite,657,11,11,4,4,0
37072,1069-66-5,Sodium valproate,409,17,3,2,1,1
40681,7773-01-5,Manganese dichloride,59,8,8,2,2,0
274180,14277-97-5,L-Domoic acid,59,19,19,2,2,0
24120,77182-82-2,Glufosinate-ammonium,58,2,2,1,1,0
40712,2767-54-6,Triethyltin bromide,406,236,76,12,7,5
22602,69-53-4,Ampicillin,668,11,11,6,6,0
20552,562-10-7,Doxylamine succinate,927,8,8,4,4,0
1336160,NOCAS_1336160,"Guarana from ground, unprocessed seed",55,5,5,2,2,0
1335118,NOCAS_1335118,Wormwood Herb 10:1,55,12,12,2,2,0
52741,12071-83-9,Propineb,58,38,38,2,2,0
46812,118712-89-3,Transfluthrin,133,37,37,3,3,0
58104,447399-55-5,Pyroxasulfone,55,25,25,2,2,0
27348,994-36-5,Sodium citrate (x:1),55,18,18,2,2,0
37602,1035330-36-9,2-tert-Butylpyrimidin-5-yl ethyl isopropyl phosphate,55,5,5,2,2,0
37601,56070-14-5,Terbufos oxon,55,11,11,2,2,0
42444,10548-10-4,Terbufos sulfoxide,55,1,1,1,1,0
24331,563-68-8,Thallium(I) acetate,318,62,8,6,2,4
44343,365400-11-9,Pyrasulfotole,55,0,0,0,0,0
1335119,NOCAS_1335119,Powdered Guarana seed,55,0,0,0,0,0
1334843,NOCAS_1334843,Wormwood,55,10,10,2,2,0
1336159,NOCAS_1336159,Fu Zi (Zhi) (Aconitum Lateralis) root,55,1,1,1,1,0
1018461,8063-12-5,Aconite,55,2,2,1,1,0
25383,25637-99-4,Hexabromocyclododecane,55,42,42,2,2,0
